video_id,title,contract_id,category,category_sub1_name,category_sub2_name,season,phase,series_name,updated_at
Yfi7NVaGcSY,Ki?m so·t Ù nhi?m ?? ph·t tri?n cÙng nghi?p gi?y| VTC14,177,News,TV,,,,,9/21/2018 3:20
-BwDX6AdbzQ,B?n tin Cu?c s?ng 24h ng‡y 18/09/2018 | VTC14,177,News,TV,,,,,9/21/2018 3:20
Ho71SRSvGmc,Kh·nh HÚa: b?t ??i t??ng ?e d?a gi?t ng??i v‡ cho vay n?ng l„i| VTC14,177,News,TV,,,,,9/21/2018 3:20
evkax8fsK9o,Th?i ti?t 12h 18/09/2018: M?a r?i r·c 3 ng‡y t?i trÍn c? n??c | VTC14,177,News,TV,,,,,9/21/2018 3:20
pjtSWGekSZg,H‡ N?i: c· ch?t b?t th??ng ? ??m NguyÍn KhÍ| VTC14,177,News,TV,,,,,9/21/2018 3:20
tS7hV_Z1tNo,B?n tin Cu?c s?ng 24h 17/09/2018| VTC14,177,News,TV,,,,,9/21/2018 3:20
uIyhR_0pfnA,"B„o s? 6 suy y?u, ?Ùng B?c B? v?n cÛ giÛ gi?t m?nh c?p 7 kËm m?a l?n| VTC14",177,News,TV,,,,,9/21/2018 3:20
m1m0qxi-hqU,"Th?i ti?t 6h 17/09/2018: Qu?ng Ninh, Cao B?ng, L?ng S?n cÛ giÛ m?nh c?p 6, gi?t c?p 7| VTC14",177,News,TV,,,,,9/21/2018 3:20
7cL9iINY-38,Th?i ti?t cu?i ng‡y 23h 16/09/2018:T‚y NguyÍn&Nam B? m?a dÙng c?ng s? t?ng lÍn trÍn di?n r?ng| VTC14,177,News,TV,,,,,9/21/2018 3:20
jh-1cQBnzHQ,Th?i ti?t c·c th‡nh ph? l?n 17/09/2018:Qu?ng BÏnh tr? v‡o ??n BÏnh Thu?n th?i ti?t v?n kh· t?t|VTC14,177,News,TV,,,,,9/21/2018 3:20
YFXZFr8WuPE,L?i ?i n‡o cho v?t li?u x‚y d?ng l‡m t? tro x? nhi?t ?i?n than?| VTC14,177,News,TV,,,,,9/21/2018 3:20
iMG636hn5lw,Kh? vÏ tro x? nhi?t ?i?n than| VTC14,177,News,TV,,,,,9/21/2018 3:20
Wzpv3koBtkA,"Th?y ?i?n Ho‡ BÏnh ?Ûng 1 c?a x? ?·y, theo dıi ch?t m?c n??c| VTC14",177,News,TV,,,,,9/21/2018 3:20
x6WKYt1n6k0,PhÛ Th? T??ng yÍu c?u khÙng ch? quan khi ?ng phÛ b„o s? 6| VTC14,177,News,TV,,,,,9/21/2018 3:20
4j2it61iI2M,Philippines: s? ng??i thi?t m?ng do b„o Mangkhut t?ng cao| VTC14,177,News,TV,,,,,9/21/2018 3:20
LTIjP5BXFBw,Nguy c? m?t an to‡n v˘ng thung l?ng ng?p n??c t?i S?n La| VTC14,177,News,TV,,,,,9/21/2018 3:20
Zlr0bCFBxxo,"B„o s? 6 d?ch chuy?n lÍn phÌa B?c, g‚y m?a to trÍn di?n r?ng| VTC14",177,News,TV,,,,,9/21/2018 3:20
MA_Za1A3HOE,"Ng??i n??c ngo‡i kÈo nhau sang Vi?t Nam ch?a b?nh, ìtÏmî con?| VTC14",177,News,TV,,,,,9/21/2018 3:20
s2Ao8x4VXhY,"V? TNGT 13 ng??i t? vong: t‡i x? ch?t, ai s? b?i th??ng?| VTC14",177,News,TV,,,,,9/21/2018 3:20
tN5czvGMQe4,SiÍu b„o Mangkhut cÛ th? ìth?i bayî 120 t? usd t?i ch‚u ¡| VTC14,177,News,TV,,,,,9/21/2018 3:20
EFXKuum29uo,ì‘ng tr˘m h‡i t?t ??t B?cî qua ??i vÏ ??t qu?| VTC14,177,News,TV,,,,,9/21/2018 3:20
V-RyJvdqZJk,M˘ m?t vÏ ?eo kÌnh ·p trÚng xu?ng h? b?i| VTC14,177,News,TV,,,,,9/21/2018 3:20
U1_-P-c-V9Y,"B„o s? 6 ?? b? Hong Kong, mi?n B?c m?a to t? t?i nay| VTC14",177,News,TV,,,,,9/21/2018 3:20
F-NeNfW3stY,B„o Mangkhut ?e d?a nh‡ m·y ?i?n h?t nh‚n g?n Vi?t Nam| VTC14,177,News,TV,,,,,9/21/2018 3:20
urGaZdPctII,Th?i ti?t du l?ch 16/09/2018:Nam B? m?a nhi?u v‡o tr?a chi?u v‡ chi?u t?i ?? phÚng giÛ gi?t | VTC14,177,News,TV,,,,,9/21/2018 3:20
Vn5-FW5X9ms, [Tr?c ti?p] B?n tin Nh?t k˝ cu?c s?ng ng‡y 16/09/2018 I VTC14,177,News,TV,,,,,9/21/2018 3:20
ovdc9bTFP10,"Th?i ti?t t?ng h?p 19h 16/09/2018: Qu?ng Ninh, Cao B?ng, L?ng S?n, ?Ím cÛ giÛ c?p 6,gi?t c?p 7|VTC14",177,News,TV,,,,,9/21/2018 3:20
ycJkyKvEgtc,B?n tin Giao thÙng an to‡n 16/09/2018| VTC14,177,News,TV,,,,,9/21/2018 3:20
2gZ6S8xK6MY,"Th?i ti?t nÙng v? 16/09/2018: B?c B? cÛ m?a v?a, m?a to, cÛ n?i m?a r?t to| VTC14",177,News,TV,,,,,9/21/2018 3:20
i7XvMRyw6PI,B?n tin GÛc nhÏn kh·n gi? 16/09/2018| VTC14,177,News,TV,,,,,9/21/2018 3:20
eP8Nh8oFVQA,Eat Clean - ?n s?ch: l? mi?ng v?i mÛn b·nh c?m y?n m?ch| VTC14,177,Lifestyle,Foods,,,,,9/21/2018 3:20
vzKnOLx5-SI,"Th?i ti?t bi?n 16/09/2018:B?c Bi?n ?Ùng, hÙm nay m?a b„o, giÛ m?nh c?p 11-12, bi?n ??ng d? d?i|VTC14",177,News,TV,,,,,9/21/2018 3:20
