video_id,title,contract_id,category,sub1,sub2,season,phase,series_name,created_at
7xWlUTUH89M,ANH MU?N EM S?NG SAO _ DI?U THU,412,Others,Others,,,,,9/11/2018 9:47
E02oVNb1q7U,TÚP L?U LÝ T??NG,412,Others,Others,,,,,9/11/2018 9:47
E5FnIGWG9EQ,L?I NH? NG??I YÊU _ L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
7yTm4LvFwu0,NGH? S? CHÍ TÂM H?I NGO?I V? TRÌNH BÀI TRÍCH ?O?N LAN VÀ  ?I?P,412,Others,Others,,,,,9/11/2018 9:47
EDK9AbUpwW8,Hòa T?u ph?i h?p bài tr??c khi di?n Vu Quy THÚY H?NG & NG?C DUY,412,Others,Others,,,,,9/11/2018 9:47
88GJ7tt5Gng,DUYÊN H?NG _ mc S?n Tùng_h?u tr??ng ban nh?c_ Vu Quy THÚY H?NG & NG?C DUY,412,Others,Others,,,,,9/11/2018 9:47
EPF7QBQOzIs,T? H?NG _ L? TÂN HÔN H?NG LÂM & Y?N BÌNH,412,Others,Others,,,,,9/11/2018 9:47
8CKCeN23rEM,EM NH? TIA N?NG M?T TR?I,412,Others,Others,,,,,9/11/2018 9:47
ETfA1-DsxI0,TR? N? TÌNH XA _ BÍCH TRÂM & NG?C TRINH,412,Others,Others,,,,,9/11/2018 9:47
8GVRFgs6mbU,??A EM VÀO H? _ (THÚY NGA M?NG SINH NH?T BÉ PHÚ QUÝ),412,Others,Others,,,,,9/11/2018 9:47
EUUpSjxoisU,BAN NH?C ?I?N T? S?N ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
8J_xkky50aM,BAN NH?C ?I?N T? S?N CÁI BÈ_TG ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
EgAG_ZXOq8s,?ÔI M?T NG??I X?A_ Vu Quy THÚY H?NG & NG?C DUY,412,Others,Others,,,,,9/11/2018 9:47
8U3qsR4wwxI,CÁNH THI?P ??U XUÂN _ HOÀI LI?U,412,Others,Others,,,,,9/11/2018 9:47
8_48Vtb5eSs,CHUY?N TÌNH KHÔNG D? VÃNG  (THÚY NGA M?NG SINH NH?T BÉ PHÚ QUÝ),412,Others,Others,,,,,9/11/2018 9:47
8drzUfTRA64,EM NH? TIA N?NG M?T TR?I,412,Others,Others,,,,,9/11/2018 9:47
3tjKGFFc5pM,LIÊN KHÚC TH??NG NHAU LÝ T? H?NG _TH??NG QUÁ VI?T NAM,412,Others,Others,,,,,9/11/2018 9:47
8iRSMqnHaZE,V? NG?T ?ÔI MÔI _ DI?U THU ( L? Tân hôn _ TH? HUY & THÚY LI?U ),412,Others,Others,,,,,9/11/2018 9:47
3tk2khXqVdc,TÚP L?U LÝ T??NG _  DI?U THU,412,Others,Others,,,,,9/11/2018 9:47
8oFp1kTCyjY,ANH KHÁC HAY EM KHÁC _ (Châu hát hay và xung quá )TÂN HÔN ANH QUÂN & THANH VÂN,412,Others,Others,,,,,9/11/2018 9:47
423_KSLDaTI,BAN NH?C ?I?N T? S?N ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
8rIaJ8eNW2Y,NH? NHAU HOÀI  l? 30/4,412,Others,Others,,,,,9/11/2018 9:47
46iEcg3ya4Y,THÀNH PH? TÌNH YÊU VÀ N?I NH?},412,Others,Others,,,,,9/11/2018 9:47
8x882DPI4F4,TR? N? TÌNH XA _ Ca s?  HOÀNG NGÂN & XIN DÀNH TR?N CHO EM _ Ca s?  MAI TRINH,412,Others,Others,,,,,9/11/2018 9:47
4NdSD6xVPUs,DUYÊN S? C?M CA _ CA S? LINH ?AN,412,Others,Others,,,,,9/11/2018 9:47
9NWtf9Vcsmk,VÀO ??I_MC CA S? BÍCH TRÂM  (THÚY NGA M?NG SINH NH?T BÉ PHÚ QUÝ),412,Others,Others,,,,,9/11/2018 9:47
4_l-AafgCYE,HÒA T?U,412,Others,Others,,,,,9/11/2018 9:47
9PF6wE9XSgY,NGÀY EM RA ?I,412,Others,Others,,,,,9/11/2018 9:47
9RIYyi03pUA,R??U C??I NGÀY XUÂN,412,Others,Others,,,,,9/11/2018 9:47
9VdEWRXLVPU,Soundcheck _ Setup nh?c c? cho Ti?c c??i _ ?ÌNH V? & DI?M MY,412,Others,Others,,,,,9/11/2018 9:47
9_2K7TnoI9w,BAN NH?C ?I?N T? S?N _CÁI BÈ _ TG ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
9i7fOT4uyRE,CÔ BÉ NGÀY X?A CA S? HÀN THÁI TÚ _ L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
4awe5JtbtxY,XIN CÒN G?I TÊN NHAU,412,Others,Others,,,,,9/11/2018 9:47
9inqLCPTUog,V? NG?T ?ÔI MÔI _ SHOW MÁY ?ÈN KHÔNG ?? T?I LUÔN..,412,Others,Others,,,,,9/11/2018 9:47
4dQ_5WaTmKE,GÁI XINH HÁT ?ÁM C??I,412,Others,Others,,,,,9/11/2018 9:47
9q1sG339g2g,LÂU ?ÀI TÌNH ÁI _ THU?N NGH?A _L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
4fCw34sRRbY,VÙNG LÁ ME BAY,412,Others,Others,,,,,9/11/2018 9:47
9vP4rCBK43U,MÙA XUÂN C?A M? _ BÂU SHOW CHÚC HÁT GIAO L?U,412,Others,Others,,,,,9/11/2018 9:47
0x1NTl5Cm7A,THÀ NG??I ??NG H?A _ VU QUY THANH HOA & THANH ?I?N,412,Others,Others,,,,,9/11/2018 9:47
9zajgW1u4zY,HOA CÀI MÁI TÓC _ ANH ??T ( khách m?i trình bài ),412,Others,Others,,,,,9/11/2018 9:47
11kCKWKkC3M,C1 DJ SUSAN   SINH NH?T ANH TU?N & ANH THI ( 16/06/2018_13/06/2015 ),412,Others,Others,,,,,9/11/2018 9:47
1751Vlc15XE,KH?P CON NG?A NG?A Ô_Ca S?  HÀN THÁI TÚ _ L? VU QUY TH?O OANH & QUANG CHÂU,412,Others,Others,,,,,9/11/2018 9:47
175E2MbcT3Y,VÙNG TR?I BÌNH YÊN_TÚP L?U LÝ T??NG _?? NH? M?T TH?I TA ?Ã YÊU,412,Others,Others,,,,,9/11/2018 9:47
A4AMz_CBVBE,"TR??NG S?N ?ÔNG TR??NG S?N TÂY ""Khánh Tr?n hát giao l?u ti?c c??i V?""",412,Others,Others,,,,,9/11/2018 9:47
1IXEgR2XmpQ,NGHI TH?C L? TÂN HÔN H?NG LÂM & Y?N BÌNH,412,Others,Others,,,,,9/11/2018 9:47
1QOJJBI-WYI,C?M ?N _ A H?i hát giao l?u L? VU QUY H?NG ?ÀO & QUANG DUY,412,Others,Others,,,,,9/11/2018 9:47
4fcESt7LgOY,NH? ?Ã D?U YÊU,412,Others,Others,,,,,9/11/2018 9:47
A7RaZuu5k_s,TÌNH ??N PH??NG ( REMIX )  H?u tr??ng sân kh?u _TÂN HÔN ANH QUÂN & THANH VÂN,412,Others,Others,,,,,9/11/2018 9:47
AA16o2lN-ms,L? VU QUY BÍCH PH??NG & V?N V?,412,Others,Others,,,,,9/11/2018 9:47
1UiKP4Qi8rQ,C?N M?A VÔ TÂM,412,Others,Others,,,,,9/11/2018 9:47
4i2EkLZ-FDo,?ÊM TR?NG TÌNH YÊU,412,Others,Others,,,,,9/11/2018 9:47
1eCg_mEFkOc,H?I TH?M NHAU _ L? VU QUY H?NG ?ÀO & QUANG DUY,412,Others,Others,,,,,9/11/2018 9:47
4mrwCuQfAgo,"GIÁNG SINH GIÁO X? CÁI BÈ "" Cha S? cùng Ông già Noel phát quà ??c bi?t """,412,Others,Others,,,,,9/11/2018 9:47
AFb3mRwJG44,BAN NH?C ?I?N T? S?N CÁI BÈ_TG ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
1fNzVJCy5XI,BAN NH?C ?I?N T? S?N ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
AJS6p2OwJD4,?? CHO ANH KHÓC _ Vu Quy THÚY H?NG & NG?C DUY,412,Others,Others,,,,,9/11/2018 9:47
AO-wCaJx31U,QUÊN C? L?I V? _ Út Drums hát giao l?u _ ÂM THANH HU?NH XUÂN,412,Others,Others,,,,,9/11/2018 9:47
204dEllcHWA,SOUNDCHECK _ M?T TH?I ?Ã XA _ Vu Quy THÚY H?NG & NG?C DUY,412,Others,Others,,,,,9/11/2018 9:47
ATLOMWyzPbk,K? NI?M GAME SHOW AO CÁ DUYÊN KHA C?C VUI _TÂN PHONG  22/05/2018,412,Others,Others,,,,,9/11/2018 9:47
2SXaFwOukAM,?ÁM C??I ??U XUÂN,412,Others,Others,,,,,9/11/2018 9:47
2Urq7H3J_q4,ANH MU?N EM S?NG SAO,412,Others,Others,,,,,9/11/2018 9:47
2Vp1LW6mwAA,K? NI?M 2012 ( LAN ANH HÁT CÙNG B?N TI?C CHIA TAY B?N GIANG LÊN SÀI GÒN ),412,Others,Others,,,,,9/11/2018 9:47
2cmz9l_qlyE,L?I NH? NG??I YÊU _ ( L? TÂN HÔN H?NG LÂM & Y?N BÌNH ),412,Others,Others,,,,,9/11/2018 9:47
2cqoYuf-ujI,C?M ?N ( KHÁNH THANH NHÀ TH? TÂN PHONG _ CAI L?Y _ TI?N GIANG ),412,Others,Others,,,,,9/11/2018 9:47
2cy28OueXOY,HOA CÀI MÁI TÓC _ VU QUY THÚY H?NG & NG?C DUY,412,Others,Others,,,,,9/11/2018 9:47
AWbaBTizIuk,TR? N? TÌNH XA _ HOÀNG NGÂN,412,Others,Others,,,,,9/11/2018 9:47
AiplL-gjfjs,VÓ NG?A TRÊN ??I C? NON _ NH?T PH??NG,412,Others,Others,,,,,9/11/2018 9:47
Aq_HpK0EqeM,GAME SHOW vui nh?n cho  ?êm s? ki?n h?i ngh? nhà th?u ( Cty VLXD  H?NG QUANG ),412,Others,Others,,,,,9/11/2018 9:47
ArCh89LqYQY,CHI?U M?A BIÊN GI?I,412,Others,Others,,,,,9/11/2018 9:47
AyR4Wtn2NU4,G?P NHAU LÀM NG? _ VU QUY THANH HOA & THANH ?I?N,412,Others,Others,,,,,9/11/2018 9:47
AzEhKdQdBAo,TÚP LI?U LÝ T??NG _ C?C XUNG,412,Others,Others,,,,,9/11/2018 9:47
XP0H4T0Jitk,WEDDING L? ?ÍNH HÔN KIM NG?C & TH?NG TÀI ( Cô dâu & chú r? ??p và xì teen quá ),412,Others,Others,,,,,9/11/2018 9:47
9XP6Q1tAT_M,B?o Anh xinh ??p chia s? v? chuy?n ?i Châu Âu s?p t?i,776,Others,Others,,,,,9/11/2018 9:47
B2n9rQt2AE0,?ÊM TR?NG TÌNH YÊU,412,Others,Others,,,,,9/11/2018 9:47
B3rCnAoudyU,Soundcheck,412,Others,Others,,,,,9/11/2018 9:47
B40Ya6_czBg,XI?C ?O THU?T_CÁI BÈ,412,Others,Others,,,,,9/11/2018 9:47
B59QqMEZnkM,BÁNH XÈO QUANG VÂN,412,Others,Others,,,,,9/11/2018 9:47
B8hGVa5YoPw,BAN NH?C ?I?N T? S?N ( LH 090.9991666 ),412,Others,Others,,,,,9/11/2018 9:47
B8iHqCR3ZV0,?ÁM C??I ??U XUÂN,412,Others,Others,,,,,9/11/2018 9:47
BKoP8jxw-F8,"HAI ??A MÌNH YÊU NHAU,TRUNG & AN _ SINH NH?T LÝ NHÃ K?. ( BAN NH?C ?I?N T? L??NG )",412,Others,Others,,,,,9/11/2018 9:47
BOaD2KKyVio,SAO VI?T v? tr??c òa chi?n th?ng phi th??ng c?a U23 Vi?t Nam,412,Others,Others,,,,,9/11/2018 9:47
BRAypVNDyTs,NH?NG N?O ???NG PHÙ SA,412,Others,Others,,,,,9/11/2018 9:47
BSXWXB7ovdE,Soundcheck  _ L? VU QUY H?NG ?ÀO & QUANG DUY,412,Others,Others,,,,,9/11/2018 9:47
EzXddDHWlws,H?I T??NG,412,Others,Others,,,,,9/11/2018 9:47
iESvHixuPAc,B?o Anh khóc n?c n? tr??c tình c?m c?a fan,776,Others,Others,,,,,9/11/2018 9:47
F2mgrdeY2Lo,THÀNH PH? SAO L?NG,412,Others,Others,,,,,9/11/2018 9:47
