date,channel_id,video_id,claimed_status,uploader_type,country_code,estimated_partner_revenue,estimated_partner_ad_revenue,estimated_partner_ad_auction_revenue,estimated_partner_ad_reserved_revenue,estimated_youtube_ad_revenue,estimated_monetized_playbacks,estimated_playback_based_cpm,ad_impressions,estimated_cpm,estimated_partner_red_revenue,estimated_partner_transaction_revenue
20190111,UCgb17I1QqqCmZg0QBYye3NA,nbjpyS-PdIA,claimed,self,GB,0.002,0.002,0.002,0,0.005,1,4.512,1,4.512,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,AD3zLqjo1sE,claimed,self,IN,0.001,0.001,0.001,0,0.002,8,0.199,11,0.145,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,0VOsJ13mn_I,claimed,self,IE,0.002,0.002,0.002,0,0.003,2,1.597,2,1.597,0,0
20190111,UCag_pQZXT-mPS94lr1_jZyA,i3Vz6rwtKW4,claimed,self,SG,0.002,0.002,0.002,0,0.003,4,0.792,7,0.453,0,0
20190111,UCq0mSKeROvWfBZxucSPYC_Q,p2sfWBl3NwU,claimed,self,VN,0.039,0.039,0.035,0.004,0.071,66,1.082,67,1.066,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,Ju9qvRX_9ls,claimed,self,VN,0.005,0.005,0.005,0,0.009,33,0.264,34,0.256,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,l01Q8AvytwA,claimed,self,TZ,0.072,0.072,0.072,0,0.132,94,1.4,94,1.4,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,ECHG92ynKPc,claimed,self,IL,0.002,0.002,0.002,0,0.003,3,0.987,3,0.987,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,bjsmzFXjDXA,claimed,self,MU,0,0,0,0,0,1,0.328,1,0.328,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,kKhzKn9H9E8,claimed,self,BR,0,0,0,0,0,1,0.118,1,0.118,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,ohcAowWF4w4,claimed,self,US,0.001,0,0,0,0,0,0,0,0,0.001,0
20190111,UCRP6wPuXh2ZqjKCrANXJZdw,zH62OpYZGKs,claimed,self,VN,0.001,0.001,0.001,0,0.002,3,0.728,5,0.437,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,Li923v65O1Y,claimed,self,AU,0.067,0.067,0.056,0.01,0.121,38,3.19,38,3.19,0,0
20190111,UCxQAr3INJxTZIsDpKV_LfGQ,EkQ2Me8eiD8,claimed,self,VN,0.003,0.003,0.003,0,0.006,17,0.373,17,0.373,0,0
20190111,UC42rHKsPLtfJMxWU-CWTeFQ,rt9D2gqi-X0,claimed,self,VN,0.005,0.005,0.005,0,0.01,7,1.424,6,1.661,0,0
20190111,UCb2iEG1CZVwGCC1VQaRo7ZQ,QLeNPqWtvyw,claimed,self,KH,0.002,0.002,0.002,0,0.003,2,1.688,2,1.688,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,qR6hK9LEUz8,claimed,self,VN,0.001,0.001,0.001,0,0.002,1,1.835,1,1.835,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,l01Q8AvytwA,claimed,self,BS,0.001,0.001,0.001,0,0.003,3,0.875,3,0.875,0,0
20190111,UC1CeYWtAz6CpHIgOC3DXQhw,phBOpwoKHRc,claimed,self,NG,0.002,0.002,0.002,0,0.004,1,4.096,1,4.096,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,8W1YtJX1z1w,claimed,self,GB,0.031,0.031,0.022,0.009,0.056,36,1.559,36,1.559,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,l746Mx9dcII,claimed,self,PK,0.022,0.022,0.022,0,0.041,83,0.49,84,0.484,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,YNtmAvwULQQ,claimed,self,LB,0.007,0.007,0.007,0,0.012,35,0.347,34,0.357,0,0
20190111,UCl6AtFITxCJTmBJKcP7_XhQ,llE5KW-Akok,claimed,thirdParty,VN,0.008,0.008,0.008,0,0.015,12,1.24,12,1.24,0,0
20190111,UCgBeh1ryYVPOj3F296pZQ8g,MW3caO6DSjs,claimed,self,VN,0.001,0.001,0.001,0,0.002,4,0.44,4,0.44,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,U5bsyAiHm2M,claimed,self,VN,0.002,0.002,0.002,0,0.004,7,0.596,7,0.596,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,Z2O6_oMsQhA,claimed,self,VN,0.138,0.138,0.126,0.012,0.251,197,1.275,240,1.046,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,qPn1Khyg9ic,claimed,self,SG,0.006,0.006,0,0.006,0.011,1,11.473,1,11.473,0,0
20190111,UCZvcMJ-YMxS9foXA049ZrtA,KI3cfNMtd8o,claimed,self,VN,0.001,0.001,0.001,0,0.001,1,0.958,1,0.958,0,0
20190111,UCq0mSKeROvWfBZxucSPYC_Q,ynddReNju2Y,claimed,self,VN,0.001,0.001,0.001,0,0.001,3,0.331,4,0.248,0,0
20190111,UCipHWim9P0HEcScbiorqyEA,xrqTzz21fnw,claimed,self,VN,0.005,0.005,0.005,0,0.008,14,0.587,18,0.456,0,0
20190111,UCZvcMJ-YMxS9foXA049ZrtA,UkoEPzhNlQI,claimed,self,PK,0.001,0.001,0.001,0,0.002,1,2.371,1,2.371,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,l01Q8AvytwA,claimed,self,NL,0.305,0.305,0.305,0,0.555,143,3.88,143,3.88,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,zA3S8uXfO9c,claimed,self,MY,0.005,0.005,0.005,0,0.009,2,4.432,5,1.773,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,Z2O6_oMsQhA,claimed,self,HK,0.002,0.002,0.002,0,0.003,5,0.577,6,0.48,0,0
20190111,UC0SwD4s4n_ckHzppH2groHA,K_3FmSc8NBs,claimed,self,VN,0.002,0.002,0.002,0,0.004,4,0.916,3,1.222,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,dR59rgHuYjM,claimed,self,SG,0.002,0.002,0.002,0,0.003,3,1.041,3,1.041,0,0
20190111,UCBsczXBx4PXjHzujuIq1kYg,8PVWQWCmirM,claimed,self,SG,0.045,0.045,0.045,0,0.082,53,1.544,53,1.544,0,0
20190111,UCgb17I1QqqCmZg0QBYye3NA,TM_Fa2hD1Lo,claimed,self,CA,0.002,0.002,0.002,0,0.003,3,0.921,5,0.552,0,0
20190111,UCi2_GBlJaCqBcr8vYL01hNQ,h8ota5eLGlc,claimed,self,KE,0.001,0.001,0.001,0,0.002,2,0.947,2,0.947,0,0
